Date;Time;T1;H1;T2;H2;ch1.12CO2;ch2.12CO2;ch2.13CO2
19.09.2021;06:40:15;18.139648;77.142334;18.249512;78.921509;64.210937;32.319115;8.056879
19.09.2021;06:40:25;18.183594;77.191162;18.256836;78.933716;63.21907;29.877615;7.751703
19.09.2021;06:40:35;18.157959;77.206421;18.256836;79.031372;61.693146;30.259085;7.599115
19.09.2021;06:40:45;18.146973;77.212524;18.256836;79.02832;60.625031;29.877615;7.980585
19.09.2021;06:40:55;18.121338;77.276611;18.26416;79.098511;59.25169;27.665043;7.827997
19.09.2021;06:41:05;18.161621;77.288818;18.242187;79.110718;57.420586;29.419851;8.285761
19.09.2021;06:41:15;18.121338;77.383423;18.238525;79.0802;56.199837;26.59688;8.438396
19.09.2021;06:41:25;18.110352;77.349854;18.256836;79.098511;56.199837;26.59688;8.133173
19.09.2021;06:41:35;18.17627;77.426147;18.267822;79.150391;54.750206;24.384308;7.980585
19.09.2021;06:41:45;18.165283;77.429199;18.24585;79.171753;53.376865;24.079084;7.827997
19.09.2021;06:41:55;18.132324;77.435303;18.260498;79.220581;51.469467;23.010921;8.51469
19.09.2021;06:42:05;18.092041;77.456665;18.234863;79.293823;51.850937;21.63763;9.125042
19.09.2021;06:42:15;18.103027;77.474976;18.260498;79.293823;48.341324;22.40057;7.827997
19.09.2021;06:42:25;18.103027;77.523804;18.256836;79.290771;47.50209;22.476864;7.29394
19.09.2021;06:42:35;18.121338;77.542114;18.267822;79.333496;49.028015;21.027279;7.980585
19.09.2021;06:42:45;18.157959;77.590942;18.271484;79.406738;46.51022;20.798397;7.980585
19.09.2021;06:42:55;18.088379;77.606201;18.256836;79.364014;44.984245;21.027279;8.133173
19.09.2021;06:43:05;18.099365;77.593994;18.249512;79.437256;45.289467;19.882822;7.522821
19.09.2021;06:43:15;18.110352;77.685547;18.26416;79.46167;42.237617;19.043541;7.599115
19.09.2021;06:43:25;18.092041;77.713013;18.267822;79.473877;41.70356;17.136145;7.29394
19.09.2021;06:43:35;18.117676;77.679443;18.256836;79.498291;41.932442;17.365026;7.29394
19.09.2021;06:43:45;18.114014;77.72522;18.26416;79.534912;39.414642;18.738365;7.751703
19.09.2021;06:43:55;18.103027;77.740479;18.249512;79.589844;39.796112;16.830921;7.06501
19.09.2021;06:44:05;18.165283;77.761841;18.260498;79.58374;38.270233;15.305042;7.522821
19.09.2021;06:44:15;18.165283;77.7771;18.260498;79.620361;38.727997;16.678333;7.980585
19.09.2021;06:44:25;18.150635;77.807617;18.260498;79.666138;38.651703;14.007998;7.29394
19.09.2021;06:44:35;18.121338;77.832031;18.249512;79.705811;36.820602;14.618397;7.29394
19.09.2021;06:44:45;18.157959;77.798462;18.242187;79.675293;36.286499;14.847279;7.370234
19.09.2021;06:44:55;18.150635;77.862549;18.24585;79.718018;36.133911;15.07616;7.06501
19.09.2021;06:45:05;18.135986;77.89917;18.260498;79.769897;33.844994;13.24501;6.836128
19.09.2021;06:45:15;18.114014;77.862549;18.238525;79.75769;33.616112;13.779116;7.06501
19.09.2021;06:45:25;18.168945;77.932739;18.26416;79.812622;32.62429;13.550234;7.29394
19.09.2021;06:45:35;18.168945;77.960205;18.260498;79.837036;31.327248;13.168716;7.370234
19.09.2021;06:45:45;18.165283;77.960205;18.256836;79.818726;31.403542;11.795378;8.056879
19.09.2021;06:45:55;18.132324;77.975464;18.238525;79.84314;30.640602;11.413908;7.370234
19.09.2021;06:46:05;18.172607;77.993774;18.267822;79.870605;30.79319;11.108732;7.827997
19.09.2021;06:46:15;18.168945;78.033447;18.267822;79.925537;30.640602;11.64279;7.141304
19.09.2021;06:46:25;18.165283;78.057861;18.256836;79.946899;28.809452;10.650969;7.217646
19.09.2021;06:46:35;18.165283;78.082275;18.238525;79.983521;29.190969;11.490202;7.751703
19.09.2021;06:46:45;18.146973;78.085327;18.267822;80.026245;27.436161;10.116911;8.362055
19.09.2021;06:46:55;18.161621;78.091431;18.260498;80.029297;27.054691;10.345793;7.446527
19.09.2021;06:47:05;18.168945;78.112793;18.238525;80.059814;27.436161;10.345793;7.904291
19.09.2021;06:47:15;18.150635;78.231812;18.242187;80.075073;26.749516;9.582806;6.68354
19.09.2021;06:47:25;18.165283;78.182983;18.249512;80.12085;26.520586;10.727262;6.378365
19.09.2021;06:47:35;18.157959;78.152466;18.256836;80.13916;25.299835;9.659147;7.522821
19.09.2021;06:47:45;18.139648;78.179932;18.26416;80.172729;24.765778;9.659147;7.370234
19.09.2021;06:47:55;18.168945;78.240967;18.260498;80.212402;24.384308;8.362055;6.912422
